id;ma;ten;thoigiantao;thoigianbatdau;thoigianketthuc;muctieu;noidung;tinhcapthiet;ketqua;xeploai;trangthai;sudung;chunhiemdetai
1;mobile Fish;Home Loan Account Table Computer;2020-04-13;2020-04-12;2020-04-12;Savings Account alarm;Tasty Metal Bacon;93855;Electronics;99221;18340;61748;Home Loan Account
2;web-readiness;Namibia;2020-04-12;2020-04-13;2020-04-13;Coordinator;Common;78517;grey Cambridgeshire;59241;46676;4645;Credit Card Account Table Small Frozen Sausages
3;South Dakota envisioneer Music;Nakfa;2020-04-12;2020-04-12;2020-04-13;Buckinghamshire Games;incentivize Tuna copy;42515;sky blue Georgia;3131;96958;84228;Views e-enable Communications
4;National Awesome sky blue;Tactics;2020-04-12;2020-04-12;2020-04-12;South Georgia and the South Sandwich Islands;compelling mission-critical;54269;Plastic;80219;16526;7455;Administrator
5;reinvent 24 hour Jewelery;monitor;2020-04-12;2020-04-12;2020-04-12;Unbranded Plastic Tuna Frozen;generating Highway Ergonomic;37081;Lempira;66592;72960;59129;tangible Mississippi
6;Frozen bus;hard drive Robust Networked;2020-04-13;2020-04-12;2020-04-12;Small partnerships;Outdoors;63641;knowledge base Buckinghamshire;90756;13933;24929;relationships override
7;Brand;neutral Salad;2020-04-12;2020-04-12;2020-04-12;deposit;Squares mint green e-business;88328;projection Fresh;35629;31800;90682;contextually-based
8;synergies copying;ability Hat Iraq;2020-04-12;2020-04-13;2020-04-12;encompassing;Directives;32320;Mauritania;70301;40383;36362;Engineer
9;Exclusive Moroccan Dirham card;zero tolerance;2020-04-13;2020-04-13;2020-04-12;Berkshire Small Plastic Pants Investor;Canadian Dollar;53093;Way Dominican Republic;59269;67213;8085;24/7 Re-contextualized cross-platform
10;invoice withdrawal;bypassing optical;2020-04-13;2020-04-13;2020-04-12;Argentine Peso;Kentucky Algerian Dinar Clothing;51209;Future-proofed deposit Sausages;69093;39757;38673;Creative Metal
